classe;cote_range;description
PN;PN1;International (Polyglot)
PN;PN2;American and English
PN;PN3;French
PN;PN4;German
PN;PN5;Italian
PN;PN6;Spanish
PN;PN9;Other
PN;PN20;Aims, scope, utility, etc.
PN;PN21;International
PN;PN22.A2;Collective
PN;PN22.A3-Z;Individual, A-Z
PN;PN22.5.A2;Collective
PN;PN22.5.A3-Z;Individual, A-Z
PN;PN23.A2;Collective
PN;PN23.A3-Z;Individual, A-Z
PN;PN24.A2;Collective
PN;PN24.A3-Z;Individual, A-Z
PN;PN25.A2;Collective
PN;PN25.A3-Z;Individual, A-Z
PN;PN26.A2;Collective
PN;PN26.A3-Z;Individual, A-Z
PN;PN29;Other countries (not A-Z)
PN;PN30;Literary societies in public schools
PN;PN33;Congresses
PN;PN34;Museums. Exhibitions. By author
PN;PN35;Series. Monographs by different authors
PN;PN36.A-Z;Studies in honor of a particular person or institution. Festschriften. By honoree, A-Z
PN;PN37;Collected works, papers, essays, of individual authors
PN;PN41;General
PN;PN43;Miscellaneous and special
PN;PN43.5;General works
PN;PN43.7;Computer network resources
PN;PN44;Digests of literature. Synopses, etc.
PN;PN44.5;Terminology
PN;PN45;General works. Ideals, content, etc. Plots, motives
PN;PN45.5;Forms of literature
PN;PN45.7;Vernacular literature (as a concept)
PN;PN46;Inspiration
PN;PN47;Life
PN;PN48;Nature
PN;PN49;Philosophy, ethics, religion, etc.
PN;PN50;Relation to history
PN;PN51;Relation to sociology, economics, political science, etc. (social ideals, forces, etc. in
PN;PN52;Relation to education
PN;PN53;Relation to art
PN;PN54;Relation to language
PN;PN55;Relation to science
PN;PN56.A-Z;Topics, A-Z
PN;PN56.A23;Abjection
PN;PN56.A235;Abnormalities, Human
PN;PN56.A237;Absence
PN;PN56.A24;Absurdity
PN;PN56.A28;Adoption
PN;PN56.A29;Adultery
PN;PN56.A3;Adventure
PN;PN56.A4;Aeronautics
PN;PN56.A43;Affect (Psychology)
PN;PN56.A44;Alchemy
PN;PN56.A45;Alienation (Social psychology)
PN;PN56.A5;Allegory
PN;PN56.A55;Ambiguity
PN;PN56.A56;Analogy
PN;PN56.A567;Anarchism
PN;PN56.A57;Androgyny (Psychology)
PN;PN56.A58;Androids
PN;PN56.A59;Angels
PN;PN56.A6;Anger
PN;PN56.A64;Animals
PN;PN56.A646;Anonymous persons
PN;PN56.A65;Anorexia nervosa
PN;PN56.A67;Antiquities
PN;PN56.A68;Anxiety
PN;PN56.A69;Apocalyptic literature
PN;PN56.A717;Archaeology
PN;PN56.A72;Archetypes
PN;PN56.A73;Architecture
PN;PN56.A74;Artificial life
PN;PN56.A75;Asceticism
PN;PN56.A77;Astrology
PN;PN56.A8;Astronautics
PN;PN56.A82;Astronomy
PN;PN56.A84;Atlantis
PN;PN56.A85;Aunts
PN;PN56.A87;Authority
PN;PN56.A89;Autobiography
PN;PN56.A9;Automata
PN;PN56.A94;Automobiles
PN;PN56.A96;Autumn
PN;PN56.B23;Babel, Tower of
PN;PN56.B27;Balloons
PN;PN56.B34;Beaches
PN;PN56.B36;Beat literature
PN;PN56.B38;Beauty, Personal
PN;PN56.B4;Beheading
PN;PN56.B48;Betrayal
PN;PN56.B5;Bible
PN;PN56.B53;Biculturalism
PN;PN56.B54;Bicycles
PN;PN56.B55;Biopolitics
PN;PN56.B56;Birds
PN;PN56.B6;Blindness
PN;PN56.B615;Boastfulness
PN;PN56.B62;Body, Human
PN;PN56.B63;Bohemianism
PN;PN56.B64;Books
PN;PN56.B7;Boredom
PN;PN56.B73;Botany
PN;PN56.B74;Boundaries
PN;PN56.B78;Bridges
PN;PN56.B87;Bureaucracy
PN;PN56.C32;Cancer
PN;PN56.C34;Cannibalism
PN;PN56.C355;Capital punishment
PN;PN56.C36;Captivity
PN;PN56.C365;Casuistry
PN;PN56.C367;Catastrophical, The
PN;PN56.C37;Cats
PN;PN56.C38;Causation
PN;PN56.C39;Caves
PN;PN56.C43;Chance
PN;PN56.C44;Change
PN;PN56.C45;Character
PN;PN56.C47;Chess
PN;PN56.C49;Childbirth
PN;PN56.C5;Children
PN;PN56.C53;Chivalry
PN;PN56.C54;Cholera
PN;PN56.C55;Cities and towns
PN;PN56.C58;Civil disobedience
PN;PN56.C583;Civil service
PN;PN56.C6;Classicism
PN;PN56.C612;Climate
PN;PN56.C614;Cockaigne
PN;PN56.C618;Collective memory
PN;PN56.C62;Collectors and collecting
PN;PN56.C63;Colonies
PN;PN56.C65;Color
PN;PN56.C657;Coma
PN;PN56.C66;The comic
PN;PN56.C662;Communication
PN;PN56.C6624;Compassion
PN;PN56.C6625;Complaints (Rhetoric)
PN;PN56.C663;Concentration camps
PN;PN56.C67;Confession
PN;PN56.C674;Conscience
PN;PN56.C675;Conspiracy
PN;PN56.C676;Contradiction
PN;PN56.C68;Cosmology
PN;PN56.C683;Cosmopolitanism
PN;PN56.C684;Costume
PN;PN56.C686;Country life
PN;PN56.C687;Couples
PN;PN56.C69;Creation (Artistic, literary, etc.)
PN;PN56.C7;Crime
PN;PN56.C72;Criminology
PN;PN56.C73;Cruelty
PN;PN56.C735;Crusades
PN;PN56.C74;Crying
PN;PN56.C83;Cucurbitaceae
PN;PN56.C85;Culture
PN;PN56.C92;Cyborgs
PN;PN56.C93;Cycling
