classe;cote_range;description
AM;AM1;Periodicals. Societies. Collections, etc.
AM;AM2;Congresses
AM;AM3;Dictionaries. Encyclopedias
AM;AM3.5;Collective
AM;AM3.6.A-Z;Individual, A-Z
AM;AM4;Early works through 1800
AM;AM5;1801-
AM;AM6;Textbooks
AM;AM7;General special
AM;AM8;Children's museums
AM;AM9;Minor. Pamphlets, etc.
AM;AM10;General works
AM;AM11-13;United States (Table A14)
AM;AM21-22;British America. Canada (Table A15)
AM;AM23-24;Mexico (Table A15)
AM;AM25;General works
AM;AM26.A-Z;By region or country, A-Z
AM;AM29;General works
AM;AM30.A-Z;By region or country, A-Z
AM;AM33;General works
AM;AM34.A-Z;By region or country, A-Z
AM;AM40;General works
AM;AM41;General works
AM;AM42.A-Z;Constituent countries, counties, etc., A-Z
AM;AM42.I7-.I73;Ireland. Éire (Table A17)
AM;AM42.N6-.N63;Northern Ireland (Table A17)
AM;AM43.A-Z;Cities, towns, etc., A-Z
AM;AM44-45;Austria (Table A15)
AM;AM45.2;Czechoslovakia. Czech Republic (Table A16)
AM;AM45.3;Slovakia (Table A16)
AM;AM45.5;Hungary (Table A16)
AM;AM46-48;France (Table A14)
AM;AM49-51;Germany (Table A14)
AM;AM51.5;East Germany (Table A16)
AM;AM52-53;Greece (Table A15)
AM;AM54-55;Italy (Table A15)
AM;AM56;Belgium (Table A16)
AM;AM57-59;Holland (Table A14)
AM;AM60.A1;Periodicals. Societies
AM;AM60.A2;General works
AM;AM60.A3-Z;Regions, provinces, etc., A-Z
AM;AM60.C4;Central Asia
AM;AM60.C5;Chelyabinsk (Province)
AM;AM60.M6;Moscow (Province)
AM;AM60.U9-.U93;Uzbekistan (Table A17)
AM;AM61.A-Z;Cities, towns, etc., A-Z
AM;AM61.5;General works
AM;AM62;Denmark (Table A16)
AM;AM62.5;Iceland (Table A16)
AM;AM63;Norway (Table A16)
AM;AM64;Sweden (Table A16)
AM;AM65;Spain (Table A16)
AM;AM66;Portugal (Table A16)
AM;AM67-68;Switzerland (Table A15)
AM;AM69.A2;General works
AM;AM69.A3-Z;By region or country, A-Z
AM;AM69.A6-.A63;Albania (Table A17)
AM;AM69.B6-.B63;Bosnia and Herzegovina (Table A17)
AM;AM69.B8-.B83;Bulgaria (Table A17)
AM;AM69.C7-.C73;Croatia (Table A17)
AM;AM69.N74-.N743;North Macedonia (Table A17)
AM;AM69.R8-.R83;Romania (Table A17)
AM;AM69.S47-.S473;Serbia (Table A17)
AM;AM69.S57-.S573;Slovenia (Table A17)
AM;AM69.Y8-.Y83;Yugoslavia (Table A17)
AM;AM70.A-Z;Other European states, A-Z
AM;AM70.B44-.B443;Belarus (Table A17)
AM;AM70.E75-.E753;Estonia (Table A17)
AM;AM70.F5-.F53;Finland (Table A17)
AM;AM70.L3-.L33;Latvia (Table A17)
AM;AM70.L5-.L53;Lithuania (Table A17)
AM;AM70.P6-.P63;Poland (Table A17)
AM;AM70.U38-.U383;Ukraine (Table A17)
AM;AM71;General works
AM;AM72;China (Table A16)
AM;AM73;India (Table A16)
AM;AM75-76;Indonesia (Table A15)
AM;AM77-78;Japan (Table A15)
AM;AM79.A-Z;Other Asian countries, A-Z
AM;AM79.I7-.I73;Iran (Table A17)
AM;AM79.I8-.I83;Israel (Table A17)
AM;AM79.M3-.M33;Malaysia (Table A17)
AM;AM79.P3-.P33;Pakistan (Table A17)
AM;AM79.T8-.T83;Turkey (Table A17)
AM;AM79.4;General works
AM;AM79.5.A-Z;Individual Arab countries, A-Z
AM;AM79.5.B26-.B263;Bahrain (Table A17)
AM;AM80;General works
AM;AM87-88;Egypt (Table A15)
AM;AM89-90;South Africa (Table A15)
AM;AM91.A-Z;Other African countries, A-Z
AM;AM91.M3-.M33;Malawi (Table A17)
AM;AM91.M69-.M693;Mozambique (Table A17)
AM;AM91.N6-.N63;Nigeria (Table A17)
AM;AM93-95;Australia (Table A14)
AM;AM96-98;New Zealand (Table A14)
AM;AM99-100;Pacific islands (Table A15)
AM;AM101.A-Z;Individual museums. By place, A-Z
AM;AM111;General works
AM;AM121;Organization. Management
AM;AM122;Finance
AM;AM124;General works
AM;AM124.33;Activity programs
AM;AM124.37;Makerspaces in museums
AM;AM125;Communication of museum information
AM;AM127;General works
AM;AM129;Furniture
AM;AM130;Cleaning
AM;AM133;General works
AM;AM135;Collecting
AM;AM139;Registration. Accessioning
AM;AM141;General works
AM;AM145;Special methods (not A-Z)
AM;AM145.2;Special subjects
AM;AM148;Security measures
AM;AM151;General works
AM;AM153;Classification. Arrangement
AM;AM157;Labels. Marketing
AM;AM158;Archives
AM;AM160;People with disabilities
AM;AM200;International
AM;AM201;English
AM;AM203;French
AM;AM205;German
AM;AM207.A-Z;Other, A-Z
AM;AM211;Dictionaries
AM;AM213;Directories
AM;AM215;Computer network resources
AM;AM221;History of collecting
AM;AM223;Biography of collectors (Collective)
AM;AM231;General works
AM;AM235;Addresses, essays, lectures
AM;AM236;Catalogs of collectibles
AM;AM237;Collectibles as an investment
AM;AM301;America
AM;AM302;North America
AM;AM303;General works
AM;AM303.5;Catalogs of collectibles
AM;AM304;Colonial period
AM;AM305;19th-20th centuries
AM;AM306;New England
AM;AM307;South
AM;AM308;West
AM;AM310.A-.W;States, A-W
AM;AM311.A-Z;Cities, A-Z
AM;AM313;Canada
AM;AM314;Mexico
AM;AM315;General works
AM;AM316;Belize
AM;AM317;Costa Rica
AM;AM318;Guatemala
AM;AM319;Honduras
AM;AM320;Nicaragua
AM;AM321;El Salvador
AM;AM322;Panama
AM;AM323;General works
AM;AM324;Bahamas
AM;AM325;Cuba
AM;AM326;Haiti
AM;AM327;Jamaica
AM;AM328;Puerto Rico
AM;AM329.A-Z;Other, A-Z
AM;AM330;General works
AM;AM331;Argentina
AM;AM332;Bolivia
AM;AM333;Brazil
AM;AM334;Chile
AM;AM335;Colombia
AM;AM336;Ecuador
AM;AM337;Guiana
AM;AM338;Paraguay
AM;AM339;Peru
AM;AM340;Uruguay
AM;AM341;Venezuela
AM;AM342;General works
AM;AM343;General works
AM;AM344;England -- Local
AM;AM345;Scotland
AM;AM346;Ireland
AM;AM347;Wales
AM;AM348;Austria
AM;AM348.2;Czechoslovakia. Czech Republic
AM;AM348.3;Slovakia
AM;AM348.5;Finland
AM;AM349;France
AM;AM350;Germany
AM;AM351;Greece
AM;AM351.5;Hungary
AM;AM352;Italy
AM;AM353;General works
AM;AM354;Belgium
AM;AM355;Holland
AM;AM355.5;Poland
AM;AM356;Russia
AM;AM357;General works
AM;AM358;Denmark
AM;AM359;Iceland
AM;AM360;Norway
AM;AM361;Sweden
AM;AM362;Spain
AM;AM363;Portugal
AM;AM364;Switzerland
AM;AM365;General works
AM;AM366;Turkey
AM;AM367;Bulgaria
AM;AM368;Albania
AM;AM369;Romania
AM;AM370;Yugoslavia
AM;AM371.A-Z;Other, A-Z
AM;AM372;General works
AM;AM373;General. Levant. Turkey in Asia
AM;AM374;Iran
AM;AM374.5;Iraq
AM;AM375;Israel
AM;AM376;General. India. Pakistan. Ceylon
AM;AM377;Vietnam
AM;AM378;Thailand
AM;AM379;Malaysia
AM;AM380;Indonesia
AM;AM381;Philippines
AM;AM382;General works
AM;AM383;China
AM;AM384;Japan
AM;AM384.5;Korea
AM;AM385;Russia in Asia. Siberia
AM;AM387;General works
AM;AM388;Egypt
AM;AM389.A-Z;Other divisions, A-Z
AM;AM390;General works
AM;AM391.A-Z;By state, A-Z
AM;AM393;New Zealand
AM;AM395;General works
AM;AM396.A-Z;Individual islands or groups of islands, A-Z
AM;AM401.A-Z;Individual heterogeneous collections, A-Z
AM;AM501.A-Z;Collections of special classes of objects, A-Z
AM;AM501.L67;Lost and found objects
BH;BH1-8;Periodicals. Serials (Table B-BJ6a)
BH;BH11-18;Societies (Table B-BJ6a)
BH;BH19;Congresses
BH;BH21-28;Collected works (nonserial) (Table B-BJ6a)
BH;BH39;General works
BH;BH41;Special methods
BH;BH56;Dictionaries. Encyclopedias
BH;BH61;Study and teaching. Research
BH;BH62.A-Z;By region or country, A-Z
BH;BH81;History
BH;BH83;Origins
BH;BH85;Comparative aesthetics
BH;BH90;Collected works (nonserial)
BH;BH91;General works
BH;BH95;General special
BH;BH101;General
BH;BH102;Special
BH;BH105;General
BH;BH106;Special
BH;BH108;General
BH;BH109;Special
BH;BH115;General
BH;BH116;Special
BH;BH131;Medieval
BH;BH136;General special
BH;BH137;Byzantine
BH;BH151;Modern
BH;BH161-168;16th century (Table B-BJ6a)
BH;BH171-178;17th century (Table B-BJ6a)
BH;BH181-188;18th century (Table B-BJ6a)
BH;BH191-198;19th century (Table B-BJ6a)
BH;BH201-208;20th century (Table B-BJ6a)
BH;BH211-218;21st century (Table B-BJ6a)
BH;BH220;Juvenile literature
BH;BH221.A-Z;By region or country, A-Z
BH;BH221.F8-.F84;France
BH;BH221.G3-.G34;Germany
BH;BH221.G7-.G74;Great Britain
BH;BH221.I8-.I84;Italy
BH;BH221.U5-.U54;United States
BH;BH301.A-Z;Special topics, A-Z
BH;BH301.A55;Animism
BH;BH301.A7;Art for art's sake
BH;BH301.A77;Attitude
BH;BH301.A94;Avant-garde
BH;BH301.B53;Black
BH;BH301.C36;Camp (Style)
BH;BH301.C4;Charm
BH;BH301.C6;Color
BH;BH301.C7;The comic
BH;BH301.C73;Connoisseurship
BH;BH301.C75;Consumption (Economics)
BH;BH301.C84;Creation
BH;BH301.C88;Cruelty
BH;BH301.C92;Culture
BH;BH301.D5;Dilettantism
BH;BH301.E45;Emotivism
BH;BH301.E58;Environment
BH;BH301.E77;Espionage
BH;BH301.E8;Experience
BH;BH301.E9;Expressionism
BH;BH301.F3;Fantastic
BH;BH301.F46;Feminist aesthetics
BH;BH301.F6;Form
BH;BH301.G53;Glamour
BH;BH301.G7;Grace
BH;BH301.G73;Grief
BH;BH301.G74;Grotesque
BH;BH301.H3;Harmony
BH;BH301.H36;Head
BH;BH301.H4;The heroic
BH;BH301.I3;Ideals
BH;BH301.I52;Image
BH;BH301.I53;Imagination
BH;BH301.I55;Imitation
BH;BH301.I65;Influence
BH;BH301.I7;Irony
BH;BH301.J8;Judgment
BH;BH301.K5;Kitsch
BH;BH301.L3;Landscape
BH;BH301.L65;Love. Eros
BH;BH301.M25;Machinery
BH;BH301.M3;Man
BH;BH301.M35;Mathematics
BH;BH301.M4;Metaphor
BH;BH301.M47;Mimesis
BH;BH301.M54;Modernism
BH;BH301.M6;Movement
BH;BH301.M9;Myth
BH;BH301.N3;Nature
BH;BH301.N48;New and old
BH;BH301.N67;Nostalgia
BH;BH301.O24;Object, Aesthetic
BH;BH301.O35;Odors
BH;BH301.O75;Originality
BH;BH301.P3;Particularity
BH;BH301.P45;Physiological aspects of aesthetics
BH;BH301.P53;The picturesque
BH;BH301.P54;Plainness
BH;BH301.P64;Politics
BH;BH301.P67;Positivism
BH;BH301.P69;Postmodernism
BH;BH301.P78;Psychological aspects of aesthetics
BH;BH301.Q34;Quality
BH;BH301.R42;Realism
BH;BH301.R43;Relativity
BH;BH301.R46;Repetition
BH;BH301.R47;Representation
BH;BH301.R5;Rhythm
BH;BH301.R85;Ruins, Modern
BH;BH301.S4;Sea. Ocean
BH;BH301.S43;Seduction
BH;BH301.S46;Senses and sensation
BH;BH301.S5;Situation
BH;BH301.S65;Space
BH;BH301.S66;Sprezzatura
BH;BH301.S68;Structuralism
BH;BH301.S69;Subjectivity
BH;BH301.S7;The sublime
BH;BH301.S75;Surrealism
BH;BH301.S8;Symbolism
BH;BH301.S9;Symmetry
BH;BH301.T7;The tragic
BH;BH301.T77;Truth
BH;BH301.U5;Ugliness
BH;BH301.V57;Virtual reality
BH;BH301.V85;Vulgarity
BH;BH301.W37;War
BH;BH301.W43;Wealth
BH;BH301.W56;Wine
BH;BH301.W65;Wonder
C;C1;Periodicals. Serials
C;C2;Societies
C;C3;Congresses
C;C5;Several authors
C;C7;Individual authors
C;C8;Dictionaries. Encyclopedias
C;C20;Study and teaching
C;C40;General works
C;C45;General special
C;C50;Addresses, essays, lectures
C;C51.A-Z;By region or country, A-Z
CC;CC1.A1-.A5;Polyglot
CC;CC1.A6-Z;American. English
CC;CC3;French
CC;CC5;German
CC;CC9;Italian
CC;CC13.A-Z;Other. By language, A-Z
CC;CC20;International
CC;CC21;American (United States)
CC;CC22;Dutch
CC;CC23;English
CC;CC25;French and Belgian
CC;CC27;German, Austrian, and Swiss
CC;CC29;Greek
CC;CC31;Italian
CC;CC33;Scandinavian
CC;CC35;Slavic
CC;CC37;Spanish and Portuguese
CC;CC39.A-Z;Other. By language, A-Z
CC;CC51;Congresses
CC;CC55;Museums and collections
CC;CC65;Several authors
CC;CC67;Individual authors
CC;CC70;Dictionaries. Encyclopedias
CC;CC72;General works
CC;CC72.4;Social archaeology
CC;CC72.7;Classification
CC;CC73;Through 1800
CC;CC75;1801-
CC;CC75.5;Amateurs' manuals
CC;CC75.7;General special
CC;CC76;General works
CC;CC76.3;General works
CC;CC76.4;Aerial photography. Remote sensing
CC;CC77.A-Z;Special types of archaeology and archaeological sites, A-Z
CC;CC77.B8;Burial. Archaeothanatology
CC;CC77.C3;Cave
CC;CC77.C66;Community archaeology
CC;CC77.F67;Forest
CC;CC77.H5;Historical. Historical archaeology
CC;CC77.H68;Household archaeology
CC;CC77.I84;Islands
CC;CC77.J8;Jungle
CC;CC77.L35;Landscape archaeology
CC;CC77.M55;Military archaeology
CC;CC77.N36;Natural disasters
CC;CC77.S36;Salvage archaeology
CC;CC77.S5;Shell mounds
CC;CC77.U5;Underwater archaeology. Marine archaeology. Coastal archaeology
CC;CC77.U72;Urban archaeology
CC;CC77.W48;Wetlands
CC;CC77.5;Stratification. Archaeological geology
CC;CC78;General works
CC;CC78.3;Dendrochronology
CC;CC78.6;Carbon-14 method
