classe;cote_range;description;commentaire;nb_ouvrages;groupe;source;statut
AM;AM1-(501);Museums.  Collectors and collecting;;;AM;Ancien plan réduit (LCC);valide
AM;AM111-160;Museology.  Museum methods, technique, etc.;;;AM;Ancien plan réduit (LCC);valide
AM;AM200-(501);Collectors and collecting;;;AM;Ancien plan réduit (LCC);valide
AM;AM10-100;By country;;;AM;Ancien plan réduit (LCC);valide
BH;BH81-208;History;;;BH;Ancien plan réduit (LCC);valide
BH;BH1-301;Aesthetics;;;BH;Ancien plan réduit (LCC);valide
BH;BH301;Special topics;;;BH;Ancien plan réduit (LCC);valide
C;C;Auxiliary Sciences Of History;;;C;Ancien plan réduit (LCC);valide
CC;CC72-81;Philosophy.  Theory;;;CC;Ancien plan réduit (LCC);valide
CC;CC710;Hill figures;;;CC;Ancien plan réduit (LCC);valide
C;C1-51;Auxiliary Sciences of History (General);;;C;Ancien plan réduit (LCC);valide
CC;CC200-260;Bells.  Campanology.  Cowbells;;;CC;Ancien plan réduit (LCC);valide
CC;CC73-81;Methodology;;;CC;Ancien plan réduit (LCC);valide
CC;CC140;Forgeries of antiquities;;;CC;Ancien plan réduit (LCC);valide
CC;CC600-605;Boundary stones;;;CC;Ancien plan réduit (LCC);valide
CC;CC300-350;Crosses;;;CC;Ancien plan réduit (LCC);valide
CC;CC700-705;Stone heaps, cairns, etc., of unknown purpose;;;CC;Ancien plan réduit (LCC);valide
CC;CC1-960;Archaeology;;;CC;Ancien plan réduit (LCC);valide
CC;CC960;Lanterns of the dead;;;CC;Ancien plan réduit (LCC);valide
CC;CC83-97;Study and teaching.  Research;;;CC;Ancien plan réduit (LCC);valide
CC;CC135-137;Preservation, restoration, and conservation of antiquities.;;;CC;Ancien plan réduit (LCC);valide
D;D;World History And History Of Europe, Asia, Africa, Australia, New Zealand, Etc.;;;D;Ancien plan réduit (LCC);valide
DA;DA990-995;Local history and description;;;DA;Ancien plan réduit (LCC);valide
D;D301-309;Period of the French Revolution;;;D;Ancien plan réduit (LCC);valide
DA;DA740-745;Local history and description;;;DA;Ancien plan réduit (LCC);valide
D;D101-110.5;Medieval and modern history, 476-;;;D;Ancien plan réduit (LCC);valide
DA;DA930-965;By period;;;DA;Ancien plan réduit (LCC);valide
DA;DA750-757.7;General;;;DA;Ancien plan réduit (LCC);valide
D;D275-276;War of Devolution, 1667-1668;;;D;Ancien plan réduit (LCC);valide
D;D890-893;Eastern Hemisphere;;;D;Ancien plan réduit (LCC);valide
DA;DA920-927;Antiquities.  Social life and customs.  Ethnography;;;DA;Ancien plan réduit (LCC);valide
DA;DA20-690;England;;;DA;Ancien plan réduit (LCC);valide
D;D1-2027;History (General);;;D;Ancien plan réduit (LCC);valide
D;D901-980;Description and travel;;;D;Ancien plan réduit (LCC);valide
D;D111-203;Medieval history;;;D;Ancien plan réduit (LCC);valide
D;D371-(379);Eastern question;;;D;Ancien plan réduit (LCC);valide
DA;DA90-125;Antiquities.  Social life and customs.  Ethnography;;;DA;Ancien plan réduit (LCC);valide
DA;DA930-937.5;Early and medieval to 1603;;;DA;Ancien plan réduit (LCC);valide
D;D31-34;Political and diplomatic history;;;D;Ancien plan réduit (LCC);valide
DA;DA140-199;Celts.  Romans.  Saxons.  Danes.  Normans;;;DA;Ancien plan réduit (LCC);valide
DA;DA670-690;Local history and description;;;DA;Ancien plan réduit (LCC);valide
DA;DA725-738;Description and travel;;;DA;Ancien plan réduit (LCC);valide
DA;DA505-522;George III, 1760-1820;;;DA;Ancien plan réduit (LCC);valide
DA;DA900-995;Ireland;;;DA;Ancien plan réduit (LCC);valide
D;D200-203;Later medieval.  11th-15th centuries;;;D;Ancien plan réduit (LCC);valide
DA;DA40-89.6;Political, military, naval, and Air Force history.;;;DA;Ancien plan réduit (LCC);valide
DA;DA807;The Union, 1707;;;DA;Ancien plan réduit (LCC);valide
DA;DA430-463;Later Stuarts;;;DA;Ancien plan réduit (LCC);valide
D;D299-(475);1789-;;;D;Ancien plan réduit (LCC);valide
DA;DA815-826;19th-20th centuries;;;DA;Ancien plan réduit (LCC);valide
DA;DA20-27.5;General;;;DA;Ancien plan réduit (LCC);valide
DA;DA990.U45-U46;Northern Ireland (Ulster);;;DA;Ancien plan réduit (LCC);valide
DA;DA200-260;1154-1485.  Angevins.  Plantagenets.  Lancaster-York;;;DA;Ancien plan réduit (LCC);valide
DA;DA498-503;1714-1760;;;DA;Ancien plan réduit (LCC);valide
DA;DA10-18.2;British Empire.  Commonwealth of Nations.  The Commonwealth;;;DA;Ancien plan réduit (LCC);valide
DA;DA850-878;Description and travel;;;DA;Ancien plan réduit (LCC);valide
DA;DA300-592;Modern, 1485-;;;DA;Ancien plan réduit (LCC);valide
DA;DA28-35;General;;;DA;Ancien plan réduit (LCC);valide
D;D219-234;1453-1648;;;D;Ancien plan réduit (LCC);valide
DA;DA900-908.7;General;;;DA;Ancien plan réduit (LCC);valide
DA;DA966-966.2;21st century;;;DA;Ancien plan réduit (LCC);valide
D;D274.5-6;Anglo-French War, 1666-1667;;;D;Ancien plan réduit (LCC);valide
DA;DA28-592;History;;;DA;Ancien plan réduit (LCC);valide
DA;DA350-360;Elizabeth I, 1558-1603.  Elizabethan age;;;DA;Ancien plan réduit (LCC);valide
DA;DA1-995;History of Great Britain;;;DA;Ancien plan réduit (LCC);valide
D;D1-24.5;General;;;D;Ancien plan réduit (LCC);valide
D;D297;Seven Years? War, 1756-1763;;;D;Ancien plan réduit (LCC);valide
D;D(204)-(475);Modern history, 1453-;;;D;Ancien plan réduit (LCC);valide
D;D135-149;Migrations;;;D;Ancien plan réduit (LCC);valide
D;D277-278.5;Dutch War, 1672-1678;;;D;Ancien plan réduit (LCC);valide
DA;DA949.7-965;19th-20th centuries.  Irish question;;;DA;Ancien plan réduit (LCC);valide
DA;DA757.9-826;History;;;DA;Ancien plan réduit (LCC);valide
D;D251-271;Thirty Years? War, 1618-1648;;;D;Ancien plan réduit (LCC);valide
D;D880-888;Developing countries;;;D;Ancien plan réduit (LCC);valide
DA;DA777-790;Early and medieval to 1603;;;DA;Ancien plan réduit (LCC);valide
DA;DA700-745;Wales;;;DA;Ancien plan réduit (LCC);valide
DA;DA750-890;Scotland;;;DA;Ancien plan réduit (LCC);valide
D;D501-680;World War I (1914-1918);;;D;Ancien plan réduit (LCC);valide
DA;DA783.5-790;Stuarts, 1371-1603;;;DA;Ancien plan réduit (LCC);valide
D;D731-838;World War II (1939-1945);;;D;Ancien plan réduit (LCC);valide
DA;DA675-689;London;;;DA;Ancien plan réduit (LCC);valide
DA;DA909-965;History;;;DA;Ancien plan réduit (LCC);valide
DA;DA600-667;Description and travel.  Guidebooks;;;DA;Ancien plan réduit (LCC);valide
DA;DA690;Other cities, towns, etc., A-Z;;;DA;Ancien plan réduit (LCC);valide
DA;DA310-360;Tudors, 1485-1603;;;DA;Ancien plan réduit (LCC);valide
D;D281-283.5;War of Spanish Succession, 1701-1714;;;D;Ancien plan réduit (LCC);valide
DA;DA880-890;Local history and description;;;DA;Ancien plan réduit (LCC);valide
D;D410-(475);20th century;;;D;Ancien plan réduit (LCC);valide
D;D51-90;Ancient history;;;D;Ancien plan réduit (LCC);valide
DA;DA765-774.5;Political and military history.  Antiquities, etc.;;;DA;Ancien plan réduit (LCC);valide
DA;DA700-713;General;;;DA;Ancien plan réduit (LCC);valide
DA;DA800-814.5;1603-1707/1745;;;DA;Ancien plan réduit (LCC);valide
DA;DA129-592;By period;;;DA;Ancien plan réduit (LCC);valide
D;D383;1815-1830.  Congress of Vienna;;;D;Ancien plan réduit (LCC);valide
DA;DA969-988;Description and travel;;;DA;Ancien plan réduit (LCC);valide
DA;DA385-398;Early Stuarts, 1603-1642;;;DA;Ancien plan réduit (LCC);valide
DA;DA933.3;English conquest, 1154-1189;;;DA;Ancien plan réduit (LCC);valide
